"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","IS_K01","IS_K02","IS_K03","IS_K04","IS_E05","IS_E06","IS_E07","IS_E08","OC_A01","OC_A02","OC_A03","OC_A04","OC_A05","CPE_C01","CPE_C02","CPE_C03","CPE_C04","CPE_I05","CPE_I06","CPE_I07","CPE_I08","CPE_M09","CPE_M10","CPE_M11","CPE_M12","CPE_E13","CPE_E14","CPE_E15","CPE_E16","PS_01","PS_02","PS_03","PS_04","PS_05","PS_06","PS_07","QQ_01","QQ_02","QQ_03","QQ_04","QQ_05","QQ_06","QQ_07","QQ_N08","QQ_N09","QQ_N10","QQ_N11","QQ_N12","QQ_N13","QQ_N14","SL_01","SL_02","SL_03","SL_04","SL_05","SL_06","SL_07","ZE01","ZE04","TIME_SUM","TIME_RSI","Time_sum_m"
"53",53,24,1,6,NA,4.16666666666667,2,20,2,0,1,5,6,2,3,6,3,5,2,5,4,5,5,5,5,6,5,5,7,6,6,7,6,6,7,6,7,6,7,7,5,7,6,7,3,6,6,1,1,2,2,2,2,4,3,1,1,2,1,2,2,1,5,3,4,3,6,6,1,1,531,0.99,8.85
"54",54,48,2,7,NA,11.5833333333333,2,30,3,0,4,2,5,1,2,2,1,2,2,3,4,3,3,3,5,4,5,5,5,5,6,4,4,4,NA,5,3,4,6,5,6,7,7,5,7,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,1,4,NA,6,7,1,1,778,0.63,12.9666666666667
"55",55,23,2,6,NA,0.916666666666667,2,40,3,0,1,2,2,2,2,4,5,2,2,1,1,1,1,1,3,5,5,2,4,5,6,4,4,3,3,3,3,5,5,5,6,7,7,6,7,6,7,5,4,5,3,5,5,1,5,5,3,2,5,4,5,6,5,7,3,6,6,3,1,1,341,1.82,5.68333333333333
"56",56,55,2,7,NA,17.4166666666667,2,25,3,1,4,3,5,2,3,2,3,2,3,4,3,3,3,2,5,3,4,5,4,4,4,3,4,2,3,4,4,3,2,3,6,5,6,5,4,3,6,3,1,4,2,2,1,4,4,1,3,2,1,1,2,5,2,1,2,1,2,3,1,1,879,0.99,14.65
"57",57,23,1,6,NA,0.583333333333333,1,7.5,1,0,1,2,3,1,2,5,3,1,1,5,2,3,2,4,5,5,4,5,3,2,2,3,5,3,3,5,3,5,3,6,3,7,7,4,3,7,5,4,3,4,2,2,4,4,2,2,4,1,5,2,5,5,3,5,2,2,5,6,1,1,641,0.84,10.6833333333333
"58",58,57,1,6,NA,33.4166666666667,2,38,5,1,1,5,5,5,4,5,5,5,3,3,4,4,4,3,4,5,4,5,4,5,5,4,4,4,4,5,4,4,4,5,5,6,4,3,5,6,5,2,2,2,2,2,2,3,4,2,2,2,2,2,2,5,5,6,5,4,5,1,1,1,633,0.92,10.55
"59",59,31,1,7,NA,0.666666666666667,2,12,1,0,1,2,7,2,6,1,2,7,1,5,5,5,5,4,2,4,6,6,7,4,4,6,1,1,6,7,5,7,5,7,6,7,6,7,7,7,2,4,1,3,2,5,1,2,2,1,2,1,1,1,3,4,1,4,4,4,7,4,1,1,746,0.84,12.4333333333333
"60",60,27,2,5,NA,5.58333333333333,2,30.5,3,0,1,3,3,2,4,5,6,7,2,5,5,5,4,5,6,4,6,5,7,5,7,7,6,6,6,7,6,4,6,5,7,7,4,5,6,7,5,5,1,4,1,1,1,1,4,4,2,1,3,2,2,5,7,7,7,7,7,7,1,1,720,0.89,12
"61",61,23,2,5,NA,1.75,2,35,1,0,1,7,5,5,4,7,7,6,7,5,5,5,5,5,3,1,5,6,5,5,7,5,1,1,4,6,5,7,7,7,6,7,1,1,3,3,1,5,3,2,1,2,1,3,2,2,2,1,4,1,2,4,5,6,4,3,6,4,1,1,695,0.77,11.5833333333333
"62",62,27,2,4,NA,8.75,2,24,2,0,3,2,2,5,1,3,5,5,2,3,1,1,1,1,3,1,2,2,3,2,5,2,5,5,3,5,2,2,2,2,3,7,6,3,6,6,3,5,4,5,5,5,3,3,1,5,5,5,5,4,2,6,2,5,5,3,5,3,1,1,552,1.02,9.2
"63",63,28,1,6,NA,5.58333333333333,2,40,4,1,2,3,4,5,3,4,5,5,1,4,4,4,4,4,6,6,5,5,6,5,5,5,5,5,4,6,6,5,6,6,6,7,6,5,6,6,6,4,1,2,1,3,2,1,3,1,2,2,2,1,2,6,5,5,5,6,5,6,1,1,764,0.83,12.7333333333333
"64",64,54,2,5,NA,37.25,2,20,2,0,3,6,6,7,5,6,7,6,6,2,1,1,1,1,3,3,3,3,3,7,7,3,1,2,3,2,2,2,4,3,5,7,4,3,2,3,6,3,3,5,3,4,5,5,2,2,5,5,5,1,5,1,1,1,2,1,7,4,1,1,643,1.24,10.7166666666667
"65",65,27,2,6,NA,3.25,1,18,1,0,2,5,2,1,2,1,3,1,1,4,4,5,4,4,5,3,5,6,6,5,4,6,6,6,7,7,7,6,6,5,6,7,7,6,7,7,7,1,1,2,1,1,1,2,4,3,1,1,2,1,2,7,7,5,4,4,6,7,1,1,584,1.15,9.73333333333333
"66",66,23,1,4,NA,0.583333333333333,1,5,1,0,1,2,2,3,2,2,3,5,2,1,2,4,2,3,3,6,5,5,5,3,2,5,2,6,3,5,6,6,6,7,6,6,6,5,6,7,5,5,2,3,2,2,2,2,2,2,2,2,2,2,2,6,4,6,4,4,6,7,1,1,461,1.27,7.68333333333333
"67",67,24,2,4,NA,2.08333333333333,1,19,2,0,3,3,6,2,1,1,1,3,1,5,2,5,5,4,7,7,6,7,7,6,7,4,3,7,6,7,6,7,5,7,7,7,3,3,5,7,6,2,2,2,1,1,1,1,4,4,1,2,1,1,5,7,6,4,1,5,5,5,1,1,554,1.5,9.23333333333333
"68",68,25,1,5,NA,8.75,2,36,3,0,1,1,1,1,1,1,1,5,1,3,4,3,3,3,1,5,6,4,4,4,4,4,1,5,1,4,4,7,4,4,7,1,3,4,7,7,4,5,2,3,3,1,4,3,3,2,2,1,2,1,2,5,4,7,7,4,4,1,1,1,600,0.44,10
"69",69,24,2,5,NA,1,2,39,3,0,1,7,7,7,7,1,7,7,4,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,6,1,1,2,1,2,1,1,5,5,4,5,3,5,5,4,5,5,3,5,1,5,1,1,1,1,1,1,4,1,1,487,1.35,8.11666666666667
"70",70,25,2,6,NA,1.08333333333333,1,41,3,0,4,5,5,2,5,4,2,5,3,5,5,5,5,5,7,6,7,5,6,6,6,6,6,7,6,6,7,6,7,7,6,7,7,7,2,1,6,2,1,3,1,1,1,2,3,1,1,1,1,3,3,6,6,6,5,4,7,7,1,1,411,1.47,6.85
"71",71,34,2,7,NA,5.16666666666667,2,40,3,0,3,5,5,2,3,2,2,5,2,2,2,2,2,4,3,2,3,4,6,3,5,5,3,4,3,5,3,3,3,3,7,7,6,6,6,7,6,5,1,4,1,2,4,4,3,3,2,2,2,2,2,5,1,2,5,3,5,6,1,1,524,1.02,8.73333333333333
"72",72,57,2,3,NA,13.4166666666667,2,25,2,0,4,1,2,1,1,1,2,2,1,4,2,4,4,4,5,3,1,3,3,4,5,2,2,5,2,5,1,3,5,3,7,7,2,4,7,5,7,2,2,4,2,1,4,2,4,4,3,2,3,2,2,6,1,5,6,5,6,7,1,1,821,0.73,13.6833333333333
